,Title,Full Text,Publisher,Place,Month,Year,Polarity Score,Sentiment
0,Democrats break GOP beachhead on Cape,julian cyr woke day 2016 election cape cods new state senatorelect cellphone buzzing democratic wellwishers called cyr everyone depressed donald trumps unexpected presidential victory sent shock waves across country cape democrats suddenly found minority republicans five regions eight state legislative seats held local sheriffs office gop candidates recaptured majority threemember barnstable county commission local papers reporting days earlier potential red tide lapping region felt prescient six years later republican swell receded bastion yankee republicans turning reliably bipartisan pocket massachusetts cape appears undergoing another political transformation culminated last months election first time democrat local district attorneys office another recaptured capes sheriffs post decades gop control party flipped yet another legislative seat next year gop control two eight legislative seats representing cape islands none county commission regions executive branch barnstable county — oldest median resident age nearly 55 years new england — still higher share republicans county state adding registered democrats time major parties struggling keep members voters choose register political independents massachusetts arent places left blue wave hit smothered cape feel like climbed bomb shelter looked around everything leveled adam lange chairman brewster republican town committee founder united cape patriots 1500member conservative group dont see clear path forward suffered shift years making gains republicans realized 2016 held several years gop still held legislative majority region recently late 2019 democrats slowly chipped away flipping open state senate seat susan l morans special election victory 2020 house later year kip diggs topped republican incumbent crocker democratic organizers energized trumps victory making inroads select boards local races building elected base political organization help bolster candidates new old theres election cape cod every six months knocking doors every six months someone sandy milano democratic organizer former president cape islands democratic council named president 2017 milano estimated democrats held roughly onethird local board seats time tenure ended last year narrowed roughly even split candidates didnt waste lot time trying figure build plane building flying time democrats broke year open races considered safely republican defense attorney robert galibois topped republican daniel higgins prosecutor served michael okeefe retiring gop incumbent became first democrat win election cape islands district attorney since office created nearly 50 years ago talked deep complacency settled nearly half century galibois promised deliver change jessica elumba incoming first assistant first woman hold post galibois instead asking cash bail cases nonviolent misdemeanor offenses hed seek put conditions defendants arraignment democrat donna buckley open seat barnstable county sheriff replace republican jim cummings held since 1999 defeated state representative tim whelan wellliked moderate republican former state police trooper buckley launched campaign march appeared destined walk office unchallenged buckley offices former general counsel even attended whelans campaign kickoff event pitched reshaping office including ending agreement us immigration customs enforcement — last state — empowers local officers enforce federal immigration laws victory compounded another,"Boston Globe Media Partners, LLC","Boston, Mass.","Dec 12, 2022",2022,0.042179769635126776,POSITIVE
1,"Not long ago, the GOP controlled most of Cape Cod. A blue wave is changing the region.",julian cyr woke day 2016 election cape cods new state senatorelect cellphone buzzing democratic wellwishers called cyr everyone depressed donald trumps unexpected presidential victory sent shock waves across country cape democrats suddenly found minority republicans five regions eight state legislative seats held local sheriffs office gop candidates recaptured majority threemember barnstable county commission local papers reporting days earlier potential red tide lapping region felt prescient six years later republican swell receded bastion yankee republicans turning reliably bipartisan pocket massachusetts cape appears undergoing another political transformation culminated last months election first time democrat local district attorneys office another recaptured capes sheriffs post decades gop control party flipped yet another legislative seat next year gop control two eight legislative seats representing cape islands none county commission regions executive branch barnstable county — oldest median resident age nearly 55 years new england — still higher share republicans county state adding registered democrats time major parties struggling keep members voters choose register political independents massachusetts arent places left blue wave hit smothered cape feel like climbed bomb shelter looked around everything leveled adam lange chairman brewster republican town committee founder united cape patriots 1500member conservative group dont see clear path forward suffered shift years making gains republicans realized 2016 held several years gop still held legislative majority region recently late 2019 democrats slowly chipped away flipping open state senate seat susan l morans special election victory 2020 house later year kip diggs topped republican incumbent crocker democratic organizers energized trumps victory making inroads select boards local races building elected base political organization help bolster candidates new old theres election cape cod every six months knocking doors every six months someone sandy milano democratic organizer former president cape islands democratic council named president 2017 milano estimated democrats held roughly onethird local board seats time tenure ended last year narrowed roughly even split candidates didnt waste lot time trying figure build plane building flying time democrats broke year open races considered safely republican defense attorney robert galibois topped republican daniel higgins prosecutor served michael okeefe retiring gop incumbent became first democrat win election cape islands district attorney since office created nearly 50 years ago talked deep complacency settled nearly half century galibois promised deliver change jessica elumba incoming first assistant first woman hold post galibois instead asking cash bail cases nonviolent misdemeanor offenses hed seek put conditions defendants arraignment democrat donna buckley open seat barnstable county sheriff replace republican jim cummings held since 1999 defeated state representative tim whelan wellliked moderate republican former state police trooper buckley launched campaign march appeared destined walk office unchallenged buckley offices former general counsel even attended whelans campaign kickoff event pitched reshaping office including ending agreement us immigration customs enforcement — last state — empowers local officers enforce federal immigration laws victory compounded another,"Boston Globe Media Partners, LLC",Boston,"Dec 12, 2022",2022,0.042179769635126776,POSITIVE
2,"Not long ago, the GOP controlled most of Cape Cod. A blue wave is changing the region.",julian cyr woke day 2016 election cape cods new state senatorelect cellphone buzzing democratic wellwishers called cyr everyone depressed donald trumps unexpected presidential victory sent shock waves across country cape democrats suddenly found minority republicans five regions eight state legislative seats held local sheriffs office gop candidates recaptured majority threemember barnstable county commission local papers reporting days earlier potential red tide lapping region felt prescient six years later republican swell receded bastion yankee republicans turning reliably bipartisan pocket massachusetts cape appears undergoing another political transformation culminated last months election first time democrat local district attorneys office another recaptured capes sheriffs post decades gop control party flipped yet another legislative seat next year gop control two eight legislative seats representing cape islands none county commission regions executive branch barnstable county — oldest median resident age nearly 55 years new england — still higher share republicans county state adding registered democrats time major parties struggling keep members voters choose register political independents massachusetts arent places left blue wave hit smothered cape feel like climbed bomb shelter looked around everything leveled adam lange chairman brewster republican town committee founder united cape patriots 1500member conservative group dont see clear path forward suffered shift years making gains republicans realized 2016 held several years gop still held legislative majority region recently late 2019 democrats slowly chipped away flipping open state senate seat susan l morans special election victory 2020 house later year kip diggs topped republican incumbent crocker democratic organizers energized trumps victory making inroads select boards local races building elected base political organization help bolster candidates new old theres election cape cod every six months knocking doors every six months someone sandy milano democratic organizer former president cape islands democratic council named president 2017 milano estimated democrats held roughly onethird local board seats time tenure ended last year narrowed roughly even split candidates didnt waste lot time trying figure build plane building flying time democrats broke year open races considered safely republican defense attorney robert galibois topped republican daniel higgins prosecutor served michael okeefe retiring gop incumbent became first democrat win election cape islands district attorney since office created nearly 50 years ago talked deep complacency settled nearly half century galibois promised deliver change jessica elumba incoming first assistant first woman hold post galibois instead asking cash bail cases nonviolent misdemeanor offenses hed seek put conditions defendants arraignment democrat donna buckley open seat barnstable county sheriff replace republican jim cummings held since 1999 defeated state representative tim whelan wellliked moderate republican former state police trooper buckley launched campaign march appeared destined walk office unchallenged buckley offices former general counsel even attended whelans campaign kickoff event pitched reshaping office including ending agreement us immigration customs enforcement — last state — empowers local officers enforce federal immigration laws victory compounded another,"Boston Globe Media Partners, LLC",Boston,"Dec 11, 2022",2022,0.042179769635126776,POSITIVE
3,Grand jury calls for stronger law against smuggling undocumented immigrants,tallahassee statewide grand jury last week called legislature expand law targeting people smuggle undocumented immigrants state grand jury impaneled request gov ron desantis issued presentment described smuggling undocumented immigrants escalating threat concluded smuggling illegal aliens endangers floridians generates huge sums money tcos transnational criminal organizations used host criminal activities notably drug trafficking human trafficking presentment posted florida supreme court website additionally illegal aliens smuggled within state put vulnerable position often exploited criminals particularly troubling dealing unaccompanied alien minors presentment came lawmakers prepare 2023 legislative session start march controversy continues swirl desantis administrations decision september transport migrants texas marthas vineyard massachusetts part justification migrant flights desantis pointed need protect floridians things people transporting drugs united states desantis potential 2024 presidential candidate long criticized federal immigration policies requested impaneling grand jury june supreme court granted request grand jury impaneled 10th judicial circuit made polk hardee highlands counties presentment formal statement grand jury described recommendations issued tuesday first presentment indicating coming grand jury called expanding humansmuggling law says people commit thirddegree felonies transport florida someone know know illegally entering country proposal expand law several ways example create thirddegree felony person conceals harbors shields detection attempts conceal harbor shield detection immigrants entered country illegally another example violations law seconddegree felonies undocumented immigrants age 18 according proposal presentment grand jury heard testimony polk county sheriff grady judd brevard county sheriff wayne ivey bill gladson state attorney 5th judicial circuit made citrus hernando lake marion sumter counties state local law enforcement agencies done best combat escalating threat clear needs done presentment since smuggling illegal aliens within florida involves multiple individuals tcos criminals human smuggling statute must revised bills starting filed 2023 legislative session republicandominated house senate desantis passed series measures recent years targeting illegal immigration instance lawmakers 2019 approved bill included banning socalled sanctuary cities florida 2022 session lawmakers included 12 million pot money state budget relocating migrants pot desantis administration tapped marthas vineyard flights,"Tribune Publishing Company, LLC","Fort Lauderdale, Fla.","Dec 11, 2022",2022,0.039898989898989906,POSITIVE
4,Visa shift for farm workers in doubt,tom hughes fourthgeneration owner hughes nursery landscaping says companies supply cedar rapids business starter trees rely seasonal program h2a visa workers without program wouldnt stock grow hughes owns business brother john gets harder harder every year get people want hughes worries ability pass company familys next generation given states historic low unemployment rate slow population growth diverse coalition iowa farmers businesses worker advocates pushing us senate pass bipartisan measure last days current session give undocumented workers path citizenship providing agricultural operations yearround labor heightened concerns nationally immigration focused reports expanded illegal border crossings may prove big hurdle bill win passage legislation called farm workforce modernization act modify nations agricultural visa program allows immigrant workers come country less year time help farmers grow fruits vegetables milk cows feed cattle build farm structures among work farm business leaders say legislation — passed us house last year — critical rural iowa home older shrinking labor pool young people leave urban areas pursue college job opportunities unlike states mainly shortterm harvesting needs iowa needs yearround help nations leading pork egg producer agriculture leaders say nearly everyone talk significantly short number employees theyd like bill northey ceo agribusiness association iowa group representing seed fertilizer agriculture companies often number 1015 short theyd really like significantly increased salaries northey former iowa agriculture secretary undersecretary us department agriculture trump administration thats helped doesnt create people thin air need bigger pool folks reach iowa farms agriculture businesses reliance seasonal workers grown climbing 180 past five years 5295 workers year us department labor h2a visa data shows among neighboring midwest states grassley sees pathway citizenship sticking point us sens michael bennet colorado democrat mike crapo idaho republican worked past year hammer version bill hope get support 60 senators needed passage sen chuck grassley iowa republican tuesday program critical iowa farmers doubts bill get necessary republican support includes pathway workers gain citizenship think hard get something passed even though theres documented need immigration legislation dealing agricultural workers grassley told reporters legislative proponents changes needed boost us food security projections showing country import food next year exports legislation includes restrictions expected salary increases farm laborers gain visas program reduce rising food costs republicancontrolled house coming next year never antonio de loerabrust spokesman united farm workers america california reality somewhere 2 million 3 million farm workers employed us farms typical year half undocumented jorge loweree managing director programs strategy american immigration council washington dc immigrant advocacy group much food find tables gets labor undocumented immigrants loweree impacts us declining population helps drive push immigration changes iowas unemployment rate 3 past six months us unemployment rate bobbed 35 37 time states population growth past decade 47 far slower nations 7 us census data shows rural areas iowa lost population,Gannett Media Corp,"Des Moines, Iowa","Dec 11, 2022",2022,-0.025193798449612403,NEGATIVE
5,Yeadon mom stuck in Mexico,two thanksgivings karen serrano roberts missing familys dinner table yeadon beginning look like second christmas away home karen roberts mexican national lived united states life stranded mexico last 18 months separated us born husband five children due immigration status born puebla mexico 1991 roberts 31 brought states 4 without legal documents came united states airplane strangers traveling white couple took los angeles father already living mother immigrated later mother arrived family lived los angeles months parents separated karen mother moved bronx ultimately moving philadelphia area fourday trip turned twoyear nightmare grown marrying lamar roberts raising family five children together karen wanted obtain legal residence status especially moved duplex yeadon lamar renovating bit bit wanted little us karen telephone interview mexico wanted grow little wanted get drivers license get license business make legal things cant get youre immigrant traveled mexico july 26 2021 plan interview apply green card us consulate ciudad juárez — monumental mistake according advocates advise seeking regularize immigration status stay us however first applied received i601 waiver united states without documentation life barred returning home family life yeadon without waiver law calls wait 10 years able return new immigration lawyer thomas griffin supposed fourday trip lamar roberts fourday trip turned almost two years shes stuck mexico alone mexico since arriving mexico karen roberts mostly alone isolated country knows people although strong faith god time considered suicide faith big know god getting ready something big us im staying cheerful hopeful faith im strong lord im grateful im still breathing kids ok first two months stayed grandmothers house puebla however family members didnt get along living moved various towns closer us consulate husband home improvement contractor finding airbnb spaces hotel rooms tourist areas keep safe month two months another place karen lamar able visit mexico times finally getting passport went february celebrate birthday ninth wedding anniversary children visited first lamar scramble get passports difficult send necessary paperwork karen mexico get signature well children spent summer 2022 may september made fourday weekend visit day thanksgiving karen hoping praying come christmas break school convenient meeting karen serrano 18 met lamar roberts 26 working convenience store upper darby something liked immediately laughed might sound silly people saw light around day light shining upon light super bright felt like angels coming around lamar 39 born philadelphia first saw karen thought beautiful approach although flirted bit didnt ask number froze little intimidating meet weeks later near trolley stop way work finally found nerve ask two married feb 18 2013 22 30 child became couple daughter dulce serrano 16 son lamar jr 15 three children together,Philadelphia Media Network (Newspapers) LLC,"Philadelphia, Pa.","Dec 11, 2022",2022,0.16632430069930074,POSITIVE
6,High court takes case on immigration scam,light illuminates part supreme court building dusk capitol hill washington wednesday nov 16 2022 ap photopatrick semansky constitutionality particular section federal law issue washington ap — supreme court friday hear case involving scam falsely promoted adult adoptions path us citizenship case tests whether section federal immigration law unconstitutional broad violates first amendments freespeech guarantees high court two years ago heard arguments issue different case courts ruling ultimately reach question new case high court agreed hear involves helaman hansen operated sacramento nonprofit called americans helping america chamber commerce government 2012 2016 persuaded least 471 people join adult adoption program even though knew adoptions promoting lead citizenship people paid 550 10000 participate hansens victims included noncitizens already united states visas convinced remain country illegally noncitizens outside united states convinced travel live united states illegally participate jury convicted series charges sentenced 20 years prison conviction however included two counts encouraging inducing illegal immigration private financial gain hansen argued counts dismissed section immigration law convicted overbroad unconstitutional appeals court agreed supreme court review ruling high court granted three cases friday including arbitration case involving cryptocurrency trading platform coinbase,Columbian Publishing Company,"Vancouver, Wash.","Dec 10, 2022",2022,-0.017528860028860036,NEGATIVE
7,Delco family pines for mom in limbo in Mexico,two thanksgivings karen serrano roberts missing familys dinner table yeadon beginning look like second christmas away home karen roberts mexican national lived united states life stranded mexico last 18 months separated us born husband five children due immigration status born puebla mexico 1991 roberts 31 brought states 4 without legal documents came united states airplane strangers traveling white couple took los angeles father already living mother immigrated later mother arrived family lived los angeles months parents separated karen mother moved bronx ultimately moving philadelphia area fourday trip turned twoyear nightmare grown marrying lamar roberts raising family five children together karen wanted obtain legal residence status especially moved duplex yeadon lamar renovating bit bit wanted little us karen telephone interview mexico wanted grow little wanted get drivers license get license business make legal things cant get youre immigrant traveled mexico july 26 2021 plan interview apply green card us consulate ciudad juárez — monumental mistake according advocates advise seeking regularize immigration status stay us however first applied received i601 waiver united states without documentation life barred returning home family life yeadon without waiver law calls wait 10 years able return new immigration lawyer thomas griffin supposed fourday trip lamar roberts fourday trip turned almost two years shes stuck mexico alone mexico since arriving mexico karen roberts mostly alone isolated country knows people although strong faith god time considered suicide faith big know god getting ready something big us im staying cheerful hopeful faith im strong lord im grateful im still breathing kids ok first two months stayed grandmothers house puebla however family members didnt get along living moved various towns closer us consulate husband home improvement contractor finding airbnb spaces hotel rooms tourist areas keep safe month two months another place karen lamar able visit mexico times finally getting passport went february celebrate birthday ninth wedding anniversary children visited first lamar scramble get passports difficult send necessary paperwork karen mexico get signature well children spent summer 2022 may september made fourday weekend visit day thanksgiving karen hoping praying come christmas break school convenient meeting karen serrano 18 met lamar roberts 26 working convenience store upper darby something liked immediately laughed might sound silly people saw light around day light shining upon light super bright felt like angels coming around lamar 39 born philadelphia first saw karen thought beautiful approach although flirted bit didnt ask number froze little intimidating meet weeks later near trolley stop way work finally found nerve ask two married feb 18 2013 22 30 child became couple daughter dulce serrano 16 son lamar jr 15 three children together,Philadelphia Media Network (Newspapers) LLC,"Philadelphia, Pa.","Dec 10, 2022",2022,0.16632430069930074,POSITIVE
8,Florida grand jury wants tougher law against smuggling immigrants,tallahassee statewide grand jury week called legislature expand law targeting people smuggle undocumented immigrants state grand jury impaneled request gov ron desantis called smuggling called illegal aliens escalating threat concluded smuggling illegal aliens endangers floridians generates huge sums money tcos transnational criminal organizations used host criminal activities notably drug trafficking human trafficking report posted florida supreme court website additionally illegal aliens smuggled within state put vulnerable position often exploited criminals particularly troubling dealing unaccompanied alien minors report came lawmakers prepare 2023 legislative session start march controversy continues swirl desantis decision september fly migrants texas marthas vineyard massachusetts desantis potential 2024 presidential candidate long criticized federal immigration policies requested impaneling grand jury june supreme court granted request grand jury impaneled 10th judicial circuit made polk hardee highlands counties grand jury called expanding humansmuggling law says people commit thirddegree felonies transport florida someone know know illegally entering country proposal expand law several ways example create thirddegree felony person conceals harbors shields detection attempts conceal harbor shield detection immigrants entered country illegally violations law seconddegree felonies undocumented immigrants age 18 according proposal grand jury heard testimony polk county sheriff grady judd brevard county sheriff wayne ivey bill gladson state attorney 5th judicial circuit made citrus hernando lake marion sumter counties bills starting filed 2023 legislative session republicandominated house senate desantis passed series measures recent years targeting illegal immigration instance lawmakers 2019 approved bill included banning socalled sanctuary cities florida even though none exist state 2022 session lawmakers included 12 million pot money state budget relocating migrants desantis administration tapped marthas vineyard flights desantis facing state investigation texas critics called political stunt well federal probe several lawsuits,"Tribune Publishing Company, LLC","Orlando, Fla.","Dec 10, 2022",2022,0.00952380952380953,POSITIVE
9,Supreme Court to hear First Amendment case of man who promised immigrants path to citizenship,washington – supreme court friday hear arguments case california man argues first amendment protected false promises made path us citizenship hundreds immigrants exchange money helaman hansen convicted 2017 encouraging inducing illegal immigration among crimes enrolling least 471 immigrants fraudulent program adult adoption way obtaining citizenship hansen charged immigrants 10000 enroll program san franciscobased us court appeals 9th circuit ruled earlier year laws issue overbroad infringed upon protected speech hansens attorneys successfully argued appeals court laws convicted criminalize speech protected first amendment merely encouraging someone engage illegal activity protected first amendment attorneys told supreme court biden administration appealed 9th circuit ruling august laws incentivizing procuring civil immigration violations particularly long pedigree administration told court court recognized century ago without discussing first amendment congresss power define immigration laws goes handinhand ability prohibit encouraging someone violate laws case arrives nations highest court two years similar dispute resulted unanimous opinion overturning 9th circuit procedural issue didnt address underlying first amendment question supreme court hear arguments case sometime next year article originally appeared usa today,"USA Today, a division of Gannett Satellite Information Network, Inc.",Arlington,"Dec 9, 2022",2022,0.013235294117647045,POSITIVE
